,listing_id,host_id,city,house_title,house_type,price,owner_name,no_of_reviews,rating,occupancy,no_of_guest,bedrooms_no,beds_no,bath_no
480,1470,100370,Orlando,Entire home! Great location! Near Fl Mall/Parks!,Entire house,68.0,Celina,33,4.0,"['4 guests', 'Studio', '2 beds', '1 bath', '\U000f0004\n46 Reviews', '\U000f0019\nVerified']",4.0,0.5,2.0,1.0
481,1471,100371,Orlando,Disney dream Guest House!,Entire guesthouse,49.0,Disney,29,4.5,"['4 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n31 Reviews', '\U000f0019\nVerified']",4.0,1.0,1.0,1.0
482,1472,100372,Orlando,Deluxe Condo 1Bedroom/1 Bath by SeaWorld/OBD,Entire apartment,59.0,Parc,61,4.5,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n1224 Reviews']",4.0,1.0,2.0,1.0
483,1473,100373,Orlando,Fantastic view. Extra large private terrace.,Room in hotel,49.0,Valentina,71,4.5,"['3 guests', '1 bedroom', '1 bed', '1 private bath', '\U000f0004\n822 Reviews', '\U000f0019\nVerified']",3.0,1.0,1.0,1.0
484,1474,100374,Orlando,NICE SUITE NEAR UNIVERSAL/DISNEY/CONVENTION CENTER,Entire condominium,65.0,Son,47,5.0,"['6 guests', '1 bedroom', '3 beds', '1 bath', '\U000f0004\n270 Reviews', '\U000f0019\nVerified']",6.0,1.0,3.0,1.0
485,1475,100375,Orlando,RELAXING FLAT NEAR UNIVERSAL & MILLENIA 2 BEDROOMS,Entire apartment,70.0,Maria,62,5.0,"['8 guests', '2 bedrooms', '7 beds', '2 baths', '\U000f0004\n322 Reviews', '\U000f0019\nVerified']",8.0,2.0,7.0,2.0
486,1476,100376,Orlando,Garden House near Orlando's cultural hub,Entire guesthouse,67.0,Terry,173,5.0,"['5 guests', 'Studio', '3 beds', '1 bath', '\U000f0004\n191 Reviews', '\U000f0019\nVerified']",5.0,0.5,3.0,1.0
487,1477,100377,Orlando,Casa segura y comodidad tranquila,Private room in house,45.0,Luis,55,5.0,"['6 guests', '2 bedrooms', '4 beds', '1 private bath', '\U000f0004\n73 Reviews', '\U000f0019\nVerified']",6.0,2.0,4.0,1.0
488,1478,100378,Orlando,Condo on International Drive 1 Bedroom/1 Bath- OBD,Entire condominium,59.0,Parc,56,4.5,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n1224 Reviews']",4.0,1.0,2.0,1.0
489,1479,100379,Orlando,Spacious/Luxurious RV-heart of Orlando,Camper/RV,48.0,Disney Magic:-),78,4.5,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n1807 Reviews', '\U000f0019\nVerified']",4.0,1.0,2.0,1.0
490,1480,100380,Orlando,2 Bedrm Condo by Convention Center & Seaworld/TBD,Entire apartment,79.0,Parc,64,4.5,"['6 guests', '2 bedrooms', '3 beds', '2 baths', '\U000f0004\n1116 Reviews']",6.0,2.0,3.0,2.0
